"student_id","attendance_percentage","average_marks_percentage","assignment_completion_percentage","recent_performance_trend","risk_level"
"STU006","58.4","23.4","38.6","Declining","High"
"STU007","75.3","75.5","87.6","Stable","Low"
"STU149","89.1","66","81","Declining","Medium"
"STU045","44.9","54.5","20.7","Declining","High"
"STU160","72.6","61.5","97.4","Improving","Low"
"STU181","90.2","74","90.7","Stable","Low"
"STU360","53","52.1","23.8","Declining","High"
"STU027","31.7","60.6","42","Declining","High"
"STU035","63.8","66.2","48.5","Stable","Medium"
"STU128","76.6","64.4","89.7","Declining","Medium"
"STU177","30.8","40.8","50.5","Declining","High"
"STU120","64.3","35.5","59.2","Declining","High"
"STU179","58.3","54.6","54.8","Improving","Medium"
"STU018","46.9","43.9","62.5","Declining","High"
"STU239","81.6","70.8","60.9","Stable","Medium"
"STU358","76.6","92.7","88.8","Stable","Low"
"STU157","80.9","71.3","76.9","Stable","Low"
"STU209","62.4","45","46.7","Declining","Medium"
"STU338","79.5","62.8","89.2","Stable","Medium"
"STU229","97.1","80.5","97","Improving","Low"
"STU109","93.2","79.6","80.6","Stable","Low"
"STU193","73.9","87.5","65.7","Improving","Low"
"STU138","51.4","39.9","51.8","Declining","High"
"STU343","88.5","71.5","97.1","Improving","Low"
"STU214","79.3","68.4","83","Improving","Low"
"STU302","76.7","76.7","87.5","Improving","Medium"
"STU094","73.8","81.7","99","Stable","Low"
"STU164","73.3","74.9","63","Declining","Medium"
"STU057","49.7","64.7","41.9","Declining","High"
"STU064","93.7","67.9","94.2","Stable","Low"
"STU033","56.7","33.7","47.3","Declining","High"
"STU319","76","86.9","67.4","Improving","Low"
"STU237","32.1","46.6","38.5","Declining","High"
"STU207","64.1","40.7","68.8","Declining","High"
"STU114","48.6","21.5","52.2","Declining","High"
"STU223","87.4","89","78.4","Improving","Low"
"STU250","88.4","58.7","80.1","Improving","Low"
"STU156","33.6","48.3","52.2","Improving","High"
"STU013","73.9","85.6","93","Stable","Low"
"STU236","55","76.6","89.9","Stable","Medium"
"STU325","86.2","89.1","81.7","Improving","Low"
"STU100","84.9","85.5","66.6","Stable","Low"
"STU303","63.2","29.2","62.3","Declining","High"
"STU332","50.8","43.3","60.5","Declining","Medium"
"STU336","70.8","65.8","78.3","Stable","High"
"STU017","85.5","68.7","47.7","Improving","Medium"
"STU122","61.7","62.9","86.4","Declining","Medium"
"STU330","70.6","35.1","74.2","Stable","High"
"STU105","34.9","23.1","39.7","Improving","High"
"STU016","99","76.8","69.5","Stable","Low"
"STU232","71.5","85.6","97.8","Stable","Low"
"STU255","43.4","48.9","64.7","Declining","High"
"STU278","58.7","72.9","80.7","Stable","Medium"
"STU019","80.7","60.4","76.9","Stable","Low"
"STU169","69.2","79.7","81.2","Stable","Low"
"STU271","72.9","80.5","86.8","Stable","Low"
"STU264","42.4","51.3","66.4","Declining","High"
"STU014","84.4","54.2","72.2","Improving","Medium"
"STU088","99","91.9","75","Improving","Low"
"STU260","74.8","68.4","45.1","Stable","Medium"
"STU074","63","47.6","49.2","Improving","Medium"
"STU276","66.2","20.2","22","Declining","High"
"STU129","32.5","64.5","41.2","Stable","High"
"STU098","67.7","49.2","54","Declining","Medium"
"STU289","69.4","66.6","91.3","Improving","Low"
"STU203","77.6","69.3","72.5","Stable","Medium"
"STU172","82.5","62.5","83.4","Stable","Low"
"STU015","51.2","29","57","Declining","High"
"STU151","79.5","85.7","83.1","Stable","Low"
"STU220","81.1","75.7","84.8","Stable","Low"
"STU306","43.9","25.6","43.1","Stable","High"
"STU344","71.9","53.6","58.5","Declining","Medium"
"STU238","83.2","76.6","98.1","Stable","Low"
"STU192","52.7","62.9","20.2","Declining","High"
"STU166","95.9","78.9","79.2","Improving","Low"
"STU297","61.5","45.6","32.2","Declining","High"
"STU073","83.5","75.7","81.3","Improving","Low"
"STU213","61","68","27.7","Declining","High"
"STU023","58.3","54.3","54.7","Stable","Medium"
"STU342","35.9","44.2","72.7","Declining","High"
"STU052","83.9","70.3","67.1","Stable","Low"
"STU221","82.5","79","57.6","Improving","Medium"
"STU041","85.7","60","54.5","Declining","Medium"
"STU076","81.4","73","65.8","Stable","Low"
"STU212","50.7","79.1","73.2","Declining","Medium"
"STU253","97.7","76.4","84.5","Improving","Low"
"STU121","86.4","75.9","65.4","Stable","Low"
"STU053","68.7","47.9","91.3","Declining","Medium"
"STU008","84.3","44.1","63.8","Declining","Medium"
"STU231","62","58.4","36.9","Declining","High"
"STU353","89.9","43.4","73.7","Stable","Medium"
"STU228","33.2","43.5","67.4","Declining","High"
"STU021","41.7","60.4","39.7","Stable","High"
"STU025","68.7","86.3","89.4","Improving","Low"
"STU201","32.7","68.3","23.5","Stable","High"
"STU063","42.2","45.5","69.8","Stable","High"
"STU047","65.5","58.9","67.2","Stable","Medium"
"STU037","68.8","75","70.9","Improving","Low"
"STU142","81.5","69.9","96.4","Improving","Low"
"STU038","65.3","53","86.7","Improving","Medium"
"STU235","82.5","60.6","66","Stable","Low"
"STU226","72.3","84.4","81.7","Improving","Low"
"STU082","98.6","72.1","80.5","Declining","Low"
"STU080","82.3","78.1","88.9","Declining","Medium"
"STU150","53","30.5","22.8","Declining","High"
"STU312","72.7","46.7","47.1","Declining","High"
"STU170","82","74.3","57.6","Stable","Medium"
"STU281","60","60.4","77.5","Declining","Medium"
"STU335","53.8","72.6","80.5","Stable","Medium"
"STU292","74.1","76.9","65.9","Stable","Low"
"STU241","69.1","81.4","73.1","Stable","Low"
"STU049","74.1","64.8","85.8","Stable","Low"
"STU301","87.9","86.8","89.1","Stable","Low"
"STU191","66.7","68.1","72.1","Improving","Medium"
"STU068","71.9","57.7","72","Declining","Medium"
"STU216","40.5","39.9","45.6","Improving","High"
"STU101","75.8","78.3","79.4","Declining","Medium"
"STU299","79.3","41.5","64.5","Improving","Medium"
"STU117","33.8","47.6","30.2","Stable","High"
"STU043","94","60.7","93.5","Stable","Low"
"STU112","79.9","66.5","65.4","Stable","Low"
"STU265","90.5","61.9","82.7","Improving","Low"
"STU194","83.9","65.5","71.3","Stable","Medium"
"STU323","87.1","69","53.1","Declining","Medium"
"STU359","89.3","71.3","61.3","Improving","Medium"
"STU249","74.1","59","49","Declining","High"
"STU158","74.3","59.4","76.5","Stable","Medium"
"STU182","56.5","45.7","92","Declining","Medium"
"STU067","99.6","87.4","82.3","Improving","Low"
"STU070","69.1","73.8","69.7","Stable","Low"
"STU022","77.6","81.6","68.2","Stable","Low"
"STU119","62.2","41","62.2","Declining","Medium"
"STU219","39","68.2","32.5","Improving","High"
"STU087","71.3","63.3","20.5","Declining","High"
"STU118","79.5","84.6","79.6","Stable","Low"
"STU224","58.9","56.4","83","Improving","Medium"
"STU030","38","20.9","35.3","Stable","High"
"STU308","71.6","56.9","81.4","Improving","Medium"
"STU347","61.4","55","52.3","Declining","Medium"
"STU272","54.6","46","69.2","Improving","Medium"
"STU291","35.6","48.4","73.3","Declining","High"
"STU002","84.2","65.7","45.9","Declining","Medium"
"STU028","100","61.7","76","Stable","Low"
"STU234","66.8","45.9","61.5","Stable","High"
"STU352","88","88.2","90.2","Stable","Low"
"STU148","90","61.7","70.8","Stable","Low"
"STU141","57.2","54.4","78.7","Declining","High"
"STU086","89.4","76.3","68.3","Declining","Medium"
"STU116","77.8","42.8","58.2","Improving","Medium"
"STU081","48.3","46.7","56.8","Improving","High"
"STU197","53.5","74.7","50.4","Stable","Medium"
"STU062","83.8","78.4","68.7","Stable","Medium"
"STU322","81.9","66","68.2","Stable","Low"
"STU298","70.3","82.2","94.2","Stable","Low"
"STU091","87.7","61.4","76.7","Stable","Low"
"STU293","80.2","41.7","74.4","Stable","Medium"
"STU103","71.8","61.7","94.7","Declining","Low"
"STU175","94.3","82.6","79.8","Stable","Low"
"STU252","59.3","64.4","49.8","Declining","High"
"STU005","76.9","51.8","68.5","Declining","Medium"
"STU200","88.3","55.2","90.1","Stable","Medium"
"STU267","43.3","58.3","54.4","Stable","High"
"STU097","81.6","84.6","76.3","Improving","Low"
"STU296","63.7","40.2","65.8","Declining","Medium"
"STU136","80.2","76.1","68.3","Stable","Low"
"STU060","53","29.9","67.1","Improving","High"
"STU010","91.7","83.4","96","Stable","Low"
"STU139","80.4","84.6","70.2","Stable","Low"
"STU001","72.3","86.9","90.5","Stable","Low"
"STU044","87.8","72.2","91","Stable","Medium"
"STU059","59.1","53.4","48.5","Stable","Medium"
"STU186","57.6","46.6","47.4","Declining","High"
"STU140","74.8","80","80.7","Declining","Medium"
"STU245","82.5","46.1","69.6","Stable","Medium"
"STU240","49.5","65.4","25.4","Stable","High"
"STU185","89.6","76.3","81.2","Improving","Medium"
"STU085","92.7","81.7","90.5","Improving","Low"
"STU058","73.5","64.7","72.1","Improving","Low"
"STU222","51.9","48.2","35.6","Improving","High"
"STU205","94.1","69.7","65.2","Stable","Low"
"STU089","85.6","43.8","75.2","Declining","Medium"
"STU257","56.1","53","48.6","Declining","Medium"
"STU195","73.9","33.5","42.6","Stable","High"
"STU134","52","75","80.2","Declining","Medium"
"STU196","89.7","85.9","94.8","Improving","Low"
"STU290","62.6","45.4","54.8","Stable","Medium"
"STU357","35.1","44.8","44.9","Stable","High"
"STU204","30.2","42.1","32.1","Declining","High"
"STU320","87.4","60.8","52.1","Declining","Medium"
"STU167","61.9","49.2","57.1","Declining","Medium"
"STU110","79.4","50.3","80.6","Stable","Medium"
"STU012","64.3","48.5","32.9","Declining","High"
"STU351","47.9","55.1","55.3","Declining","High"
"STU078","50.9","55.2","53.7","Declining","High"
"STU065","51","53.4","86","Declining","Medium"
"STU048","40","61.5","58.2","Declining","High"
"STU259","90.9","66.7","67.8","Stable","Low"
"STU256","84.5","93.1","72.5","Stable","Low"
"STU009","39.1","59.3","44.2","Declining","High"
"STU254","65.4","61.5","83.1","Declining","Medium"
"STU304","99.8","72.3","91.5","Improving","Low"
"STU092","79.4","54.8","55.4","Improving","Medium"
"STU190","80","72.1","83.8","Stable","Low"
"STU263","88.8","72.4","54.2","Improving","Medium"
"STU003","59.4","34.4","58","Stable","High"
"STU171","53.4","63.2","53.8","Declining","High"
"STU131","76.9","57.3","53.1","Declining","Medium"
"STU132","53.2","39.6","39","Declining","High"
"STU340","72.6","82.8","67.3","Improving","Low"
"STU113","89.8","62","81.9","Stable","Medium"
"STU233","56.3","45.7","81.1","Improving","Medium"
"STU316","76.6","86.3","84.1","Improving","Low"
"STU034","68.8","84.2","70.2","Improving","Low"
"STU075","37.1","61.1","22.9","Improving","High"
"STU269","73.1","58.5","64.1","Declining","Medium"
"STU348","35.6","30.7","35.1","Declining","High"
"STU154","71.5","76.5","75.3","Stable","Low"
"STU153","55.3","68.3","39.7","Declining","High"
"STU258","56.4","35.6","32.1","Declining","High"
"STU270","65.6","46.6","69.6","Declining","High"
"STU093","41","31.5","44.1","Stable","High"
"STU123","32.2","56.7","32.2","Improving","High"
"STU354","43.2","36.2","57.1","Declining","High"
"STU307","74.6","64.6","86.2","Improving","Low"
"STU333","40.3","31.3","57.5","Stable","High"
"STU096","46.8","43.3","79","Stable","High"
"STU318","38.3","29.6","68.3","Stable","High"
"STU036","42.2","34.8","71.8","Stable","High"
"STU133","81.2","87","70.6","Stable","Low"
"STU295","87.7","58.5","69.7","Stable","Low"
"STU178","79.8","77.7","99.7","Improving","Low"
"STU286","89.1","83.2","95.5","Stable","Low"
"STU268","81.9","68.7","68.2","Stable","Low"
"STU345","34","21","42.7","Declining","High"
"STU011","72.9","46.4","60","Declining","Medium"
"STU262","92.5","71.9","70.5","Stable","Low"
"STU266","82.4","78","51.1","Declining","Medium"
"STU273","50.7","46.5","69.1","Declining","High"
"STU180","30.1","50.9","58.8","Stable","High"
"STU039","53","42.4","49.2","Declining","High"
"STU326","80.4","54","52.7","Improving","Medium"
"STU137","81.3","50.8","90.6","Declining","Medium"
"STU314","88.3","74.1","89.6","Stable","Medium"
"STU072","45.9","21.4","43.3","Declining","High"
"STU277","89.7","79.3","81.9","Stable","Low"
"STU163","78.3","88.3","65.3","Stable","Low"
"STU315","47.7","49.5","33.6","Declining","High"
"STU189","30.9","32.5","71.6","Declining","High"
"STU071","65.6","73.4","68","Declining","Medium"
"STU251","69.9","78.5","77.9","Declining","Medium"
"STU300","65.7","48.2","49.3","Stable","High"
"STU184","80.6","84.5","70.7","Improving","Low"
"STU217","83.8","93.9","92.9","Stable","Low"
"STU051","63.2","44.3","37.9","Declining","High"
"STU274","73.5","82.5","82.3","Stable","Low"
"STU155","77.5","80.5","74.6","Stable","Medium"
"STU243","71.2","60.9","71.2","Improving","High"
"STU309","53.7","63.8","32.1","Declining","High"
"STU174","56.7","29.9","30.1","Stable","High"
"STU162","64.8","32.5","70.3","Declining","High"
"STU279","42.6","56.4","31.3","Stable","High"
"STU356","63.1","46.1","66.6","Stable","Medium"
"STU275","65.8","62.8","63.1","Improving","Medium"
"STU287","80.8","67.2","56","Stable","Medium"
"STU210","61.3","52.9","27.1","Improving","High"
"STU261","48","46.3","29.5","Declining","High"
"STU084","47","24.3","26.3","Declining","High"
"STU173","89.9","44.5","66.7","Declining","Medium"
"STU337","71.7","68.2","75","Improving","Low"
"STU294","37.9","67.9","49.6","Declining","High"
"STU280","77","69.6","82.4","Improving","Low"
"STU311","74.3","44.8","53.3","Declining","Medium"
"STU283","98.3","91.8","85.8","Improving","Low"
"STU198","68.5","50.1","22.2","Declining","High"
"STU355","85.4","67.7","73.1","Stable","Low"
"STU066","73.5","34.9","54.2","Stable","High"
"STU032","60.9","46.2","88.2","Declining","Medium"
"STU313","76.9","68.9","98.9","Stable","Low"
"STU230","55.1","56.9","72.7","Declining","Medium"
"STU208","99.5","80.8","72.1","Stable","Low"
"STU202","72.5","59.7","77.4","Improving","Low"
"STU031","87","65.2","92.9","Improving","Low"
"STU317","66.4","67.5","81.4","Stable","Medium"
"STU099","63.5","28.7","60.5","Declining","High"
"STU079","73.9","70.9","72.5","Improving","Low"
"STU328","91.8","86","85.2","Stable","Low"
"STU125","81.8","45.6","57.2","Declining","Medium"
"STU104","82.2","73.8","53.5","Stable","Medium"
"STU054","48.7","51","74.7","Stable","High"
"STU331","86.1","60.2","71.7","Stable","Low"
"STU145","78.2","84.1","94.5","Improving","Low"
"STU327","52.1","62.7","38.6","Stable","High"
"STU321","62.8","32.9","71.8","Stable","High"
"STU102","53.2","25.9","24.3","Stable","High"
"STU284","55.8","74.6","90.7","Stable","Medium"
"STU165","39.5","43.8","50.1","Declining","High"
"STU135","70.6","56.8","40.1","Declining","High"
"STU305","55","49.9","73.5","Declining","Medium"
"STU244","80","60.6","93.2","Stable","Low"
"STU161","80.1","49.6","81.1","Declining","Medium"
"STU176","89.7","44.6","86.1","Declining","Medium"
"STU147","41.4","30.3","34.5","Declining","High"
"STU046","99.3","87.9","82.8","Improving","Low"
"STU225","42.4","38.9","59.7","Improving","High"
"STU026","70.4","48.8","66.7","Declining","Medium"
"STU029","65.7","80.3","50.7","Stable","Medium"
"STU130","69.7","89","91.1","Stable","Low"
"STU310","78.1","58.4","99.5","Stable","Low"
"STU218","66.2","60.6","90.4","Stable","Medium"
"STU187","71.7","60.4","81.1","Improving","Low"
"STU247","74.1","91.2","73.5","Improving","Low"
"STU040","81.2","73.8","80.2","Stable","Low"
"STU339","72.2","34.2","63.8","Declining","High"
"STU144","52.7","38.7","29.4","Stable","High"
"STU061","80.5","85","68.8","Improving","Low"
"STU095","51.5","75","52.1","Improving","Medium"
"STU248","57.2","53.6","76.2","Stable","Medium"
"STU215","63.2","60","65.4","Declining","Medium"
